(B(t,315.208527,322.788177,323.8992,326.755066), D(t,95.929909,102.621536,105.270119,119.580811))
(B(t,326.755066,330.809052,331.995453,332.064117), D(t,119.580811,118.973335,116.473885,112.629997))
(B(t,332.064117,332.27002,331.056732,329.462799), D(t,112.629997,101.098183,89.702408,78.312378))
(B(t,329.462799,328.992401,326.979797,325.046997), D(t,78.312378,74.950851,72.674713,70.052498))
(B(t,325.046997,331.61145,335.981842,342.122314), D(t,70.052498,71.712753,77.145393,80.129593))
(B(t,342.122314,343.030029,341.385376,341.734711), D(t,80.129593,77.075294,74.559975,71.966446))
(B(t,341.734711,341.94519,342.157745,344.017517), D(t,71.966446,70.403946,68.80336,68.599754))
(B(t,344.017517,345.741394,346.118408,346.437469), D(t,68.599754,68.411018,69.947044,71.241707))
(B(t,346.437469,346.993408,347.979858,347.876099), D(t,71.241707,73.49736,75.797638,78.037071))
(B(t,347.876099,347.557953,351.591339,356.839661), D(t,78.037071,84.906326,88.622902,91.72908))
(B(t,356.839661,358.661865,360.486725,361.93457), D(t,91.72908,92.807549,93.983757,96.630051))
(B(t,361.93457,356.736053,354.231598,349.973328), D(t,96.630051,96.435013,92.174614,91.014519))
(B(t,349.973328,348.57431,350.073364,350.071991), D(t,91.014519,93.396774,95.786789,98.130699))
(B(t,350.071991,350.0672,350.087921,350.077637), D(t,98.130699,106.293594,114.456512,122.619385))
(B(t,350.077637,350.07132,347.517181,341.683899), D(t,122.619385,127.636406,129.946136,129.243591))
(B(t,341.683899,347.902008,355.195618,362.813812), D(t,129.243591,136.897995,142.198517,148.306946))
(B(t,362.813812,358.614105,356.413635,354.466217), D(t,148.306946,149.397751,147.356308,145.659256))
(B(t,354.466217,350.708191,346.708344,343.874847), D(t,145.659256,142.384384,139.125946,135.108734))
(B(t,343.874847,338.882019,332.384674,324.684204), D(t,135.108734,128.030228,128.375443,129.86499))
(B(t,324.684204,326.103455,327.312256,328.802734), D(t,129.86499,133.388855,136.769424,140.020874))
